epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1379.38,1.87834,2.79628,1.45757,0.4373,0.45412,0.40866,0.18168,1.82116,2.34736,1.42504,0.000413996,0.000413996,0.000413996
2,2746.92,1.77079,2.27014,1.3759,0.64441,0.43644,0.45835,0.22383,1.7985,2.25112,1.44336,0.000810103,0.000810103,0.000810103
3,4113.29,1.78342,2.10291,1.39642,0.41292,0.51205,0.46553,0.22038,1.83333,2.06152,1.42422,0.00118559,0.00118559,0.00118559
4,5529.35,1.76984,2.01817,1.39494,0.49779,0.61069,0.52805,0.24421,1.81357,2.00412,1.44528,0.00115719,0.00115719,0.00115719
5,6877.81,1.74929,1.89617,1.3893,0.42955,0.5666,0.53382,0.25786,1.8073,1.88498,1.45943,0.00112625,0.00112625,0.00112625
6,8330.23,1.73853,1.81542,1.38891,0.52042,0.66741,0.58337,0.29497,1.76447,1.76557,1.45807,0.00109531,0.00109531,0.00109531
7,9791.64,1.72672,1.76601,1.38442,0.53681,0.69766,0.61803,0.31321,1.78204,1.75103,1.44522,0.00106437,0.00106437,0.00106437
8,11242.4,1.71797,1.74003,1.37745,0.56734,0.67687,0.61607,0.31527,1.74751,1.70825,1.4436,0.00103344,0.00103344,0.00103344
9,12487,1.71768,1.69729,1.38702,0.55776,0.68983,0.60909,0.31242,1.74566,1.60157,1.43762,0.0010025,0.0010025,0.0010025
10,13664.7,1.69932,1.66364,1.37376,0.52509,0.68985,0.61679,0.32184,1.7762,1.55285,1.48596,0.000971562,0.000971562,0.000971562
11,15078.7,1.69544,1.65419,1.37355,0.53248,0.6796,0.6415,0.34027,1.74414,1.564,1.44309,0.000940625,0.000940625,0.000940625
12,16589.1,1.69077,1.6113,1.37427,0.55474,0.68751,0.64234,0.33278,1.74385,1.53106,1.46603,0.000909688,0.000909688,0.000909688
13,18094.5,1.68248,1.58301,1.37109,0.55899,0.67853,0.64128,0.33166,1.73485,1.51823,1.44578,0.00087875,0.00087875,0.00087875
