epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,389.472,1.95325,3.3375,1.57884,0.37156,0.12161,0.09546,0.03331,1.9835,3.83118,1.65905,0.000549938,0.000549938,0.000549938
2,741.616,2.17257,2.98488,1.71283,0.07089,0.11081,0.03356,0.01467,2.30919,4.5038,1.94549,0.00108371,0.00108371,0.00108371
3,1567.23,2.27776,2.83257,1.78845,0.55816,0.01971,0.01502,0.00699,2.5348,6.68457,2.25034,0.00159549,0.00159549,0.00159549
4,1919.67,2.30584,2.81808,1.82616,0.08327,0.15114,0.06193,0.01686,2.6142,5.64747,2.29111,0.00156798,0.00156798,0.00156798
5,2273.77,2.25646,2.68355,1.78637,0.07182,0.10253,0.03621,0.0136,2.42217,4.08826,2.05979,0.00153497,0.00153497,0.00153497
6,2693.18,2.20108,2.53326,1.76368,0.06523,0.09419,0.02862,0.01084,2.31006,3.45219,1.92002,0.00150197,0.00150197,0.00150197
7,3064.93,2.16453,2.45561,1.70955,0.17599,0.14499,0.10484,0.0398,2.21247,3.1782,1.82854,0.00146896,0.00146896,0.00146896
8,5732.14,2.10404,2.37075,1.70092,0.06235,0.18228,0.03692,0.01102,2.1506,3.78262,1.8528,0.00143595,0.00143595,0.00143595
9,6102.94,2.07037,2.27733,1.66636,0.23334,0.25139,0.14059,0.0564,2.08926,2.62563,1.78725,0.00140295,0.00140295,0.00140295
10,6451.54,2.07834,2.21071,1.65699,0.26011,0.21539,0.1559,0.06082,2.02746,2.73507,1.65721,0.00136994,0.00136994,0.00136994
11,6791.92,2.01479,2.16367,1.647,0.25611,0.28958,0.16698,0.0635,2.00493,3.16984,1.67451,0.00133693,0.00133693,0.00133693
12,7133.2,2.03967,2.13508,1.64095,0.13699,0.19527,0.09739,0.04185,2.15737,3.00754,1.81514,0.00130393,0.00130393,0.00130393
13,7634.13,1.97915,2.02185,1.59728,0.21403,0.25199,0.13235,0.05702,1.97869,2.53693,1.60883,0.00127092,0.00127092,0.00127092
14,7983.36,1.97883,2.02516,1.579,0.20942,0.29392,0.14768,0.05323,1.982,2.54933,1.6437,0.00123791,0.00123791,0.00123791
15,8386.21,1.879,1.98464,1.53708,0.1849,0.23189,0.13596,0.05789,2.02176,2.52344,1.65367,0.00120491,0.00120491,0.00120491
16,8734.14,1.90796,1.90443,1.54189,0.24846,0.27001,0.17511,0.06059,1.96329,2.82185,1.66198,0.0011719,0.0011719,0.0011719
17,9074.71,1.90557,1.9429,1.54073,0.21849,0.19879,0.14519,0.06845,1.99735,2.52569,1.67876,0.00113889,0.00113889,0.00113889
18,9416.64,1.84039,1.84167,1.50948,0.35478,0.27724,0.2062,0.07541,2.00816,2.53517,1.65175,0.00110589,0.00110589,0.00110589
19,9756.99,1.86837,1.88426,1.52765,0.19966,0.23098,0.1374,0.0656,1.96791,2.60731,1.64075,0.00107288,0.00107288,0.00107288
20,10096.8,1.84863,1.80286,1.49013,0.18988,0.25163,0.1367,0.06306,1.93513,2.59698,1.58168,0.00103987,0.00103987,0.00103987
21,10435,1.84155,1.7712,1.49684,0.22741,0.26342,0.16686,0.07351,1.98041,2.48247,1.59724,0.00100687,0.00100687,0.00100687
22,10777.9,1.82871,1.76859,1.46882,0.17859,0.27945,0.11889,0.05775,2.01293,2.56994,1.65904,0.000973861,0.000973861,0.000973861
23,11119.2,1.7939,1.7131,1.45743,0.27936,0.28857,0.21715,0.09689,1.904,2.20394,1.59811,0.000940855,0.000940855,0.000940855
24,11460.1,1.78485,1.72056,1.44644,0.28941,0.29195,0.19009,0.08156,1.92976,2.26482,1.58602,0.000907848,0.000907848,0.000907848
25,11745.9,1.81386,1.67043,1.448,0.32477,0.32191,0.25221,0.10303,1.94255,2.18553,1.60733,0.000874842,0.000874842,0.000874842
26,12024.9,1.73486,1.55373,1.40496,0.34206,0.30032,0.19599,0.08872,1.97499,2.28286,1.64542,0.000841835,0.000841835,0.000841835
27,12302.4,1.7543,1.60498,1.40329,0.31151,0.37248,0.23573,0.09892,1.93523,2.21991,1.5847,0.000808828,0.000808828,0.000808828
28,12581.1,1.71865,1.54565,1.41826,0.33753,0.22054,0.18803,0.08761,1.98445,2.19984,1.64411,0.000775822,0.000775822,0.000775822
29,12857.3,1.67195,1.51172,1.37019,0.32594,0.31441,0.22659,0.09991,1.94135,2.21773,1.6082,0.000742815,0.000742815,0.000742815
30,13133.6,1.66949,1.52866,1.37072,0.42278,0.27528,0.24618,0.0992,1.96572,2.18271,1.62485,0.000709809,0.000709809,0.000709809
31,13449.6,1.68482,1.53574,1.3884,0.30286,0.28375,0.19017,0.08435,1.97131,2.219,1.62436,0.000676802,0.000676802,0.000676802
32,13727.8,1.65565,1.45631,1.35556,0.29787,0.20609,0.18299,0.08627,1.98729,2.30917,1.6527,0.000643795,0.000643795,0.000643795
33,14003.5,1.64704,1.46193,1.35987,0.29966,0.25573,0.20261,0.09187,1.93405,2.28901,1.59803,0.000610789,0.000610789,0.000610789
34,14279.4,1.66488,1.48726,1.37389,0.38207,0.29497,0.24204,0.10597,1.90458,2.14466,1.61906,0.000577782,0.000577782,0.000577782
35,14557.3,1.59938,1.42127,1.33203,0.40321,0.27532,0.24551,0.10914,1.91545,2.12646,1.60618,0.000544776,0.000544776,0.000544776
36,14891.9,1.6168,1.39632,1.33491,0.34144,0.28681,0.22532,0.10117,1.92656,2.19545,1.60244,0.000511769,0.000511769,0.000511769
37,15236.7,1.58741,1.33358,1.3341,0.35021,0.33223,0.25319,0.11432,1.92366,2.10017,1.61618,0.000478762,0.000478762,0.000478762
38,15578.5,1.57615,1.34199,1.32558,0.36128,0.30018,0.236,0.10911,1.96983,2.03139,1.66902,0.000445756,0.000445756,0.000445756
39,15921.8,1.55058,1.33844,1.30053,0.32823,0.30336,0.24206,0.11199,1.94637,2.08106,1.63531,0.000412749,0.000412749,0.000412749
40,16265,1.54863,1.28658,1.29494,0.30444,0.24758,0.20852,0.10203,1.95016,2.15811,1.64245,0.000379743,0.000379743,0.000379743
41,16602.2,1.5165,1.23635,1.29523,0.38299,0.27641,0.2296,0.10757,1.95517,2.0649,1.66965,0.000346736,0.000346736,0.000346736
42,16937.1,1.48458,1.16791,1.27394,0.4571,0.30946,0.28453,0.12354,1.91499,2.01224,1.61104,0.000313729,0.000313729,0.000313729
43,17270.3,1.46136,1.14045,1.25678,0.39981,0.3349,0.25862,0.11714,1.94337,2.07064,1.64079,0.000280723,0.000280723,0.000280723
44,17604.8,1.44043,1.11295,1.25953,0.37479,0.33019,0.26536,0.11987,1.9006,2.05579,1.60888,0.000247716,0.000247716,0.000247716
